paper_id,filename,relative_path,size_bytes,modified_utc,sha256
P015,Kulkarni_et_al___2026__EDGEAI_ENABLED_FAULT_DETECTION_AND_ROOT_CAUSE_ANALYSIS_IN_INDUSTRIAL_MOTORS_USING_MULTIMODAL_SENSOR.pdf,Kulkarni_et_al___2026__EDGEAI_ENABLED_FAULT_DETECTION_AND_ROOT_CAUSE_ANALYSIS_IN_INDUSTRIAL_MOTORS_USING_MULTIMODAL_SENSOR.pdf,4539906,2026-09-02T19:37:01+00:00,8432526c089610c5b3f825513255b2dc41fa243d4d1f3ff330af297fa13db94a
P016,Kumar_et_al___2026__Transformer_with_multihead_attention_mechanism_for_bearing_fault_detection.pdf,Kumar_et_al___2026__Transformer_with_multihead_attention_mechanism_for_bearing_fault_detection.pdf,2651112,2026-09-02T19:37:01+00:00,9f204f1d9f2e089292edf5467380e3419cd8ce7c8241ab7d315cf6f1e81e96a1
P017,Lee_et_al___2026__Frequencyband_graphbased_sensor_fusion_with_sensitivityaware_energy_assist_network_for_machinery.pdf,Lee_et_al___2026__Frequencyband_graphbased_sensor_fusion_with_sensitivityaware_energy_assist_network_for_machinery.pdf,4255773,2026-09-02T19:37:01+00:00,f49518deaccc7e4913f404c4dc2bbae61f2d5be77caa9131c73b7326d630a0c8
P018,Ma_et_al___2024__Gear_Fault_Diagnosis_in_Geared_Motors_Based_on_Frequency_Adaptation_Graph_Prototype_Network_with_Lim.pdf,Ma_et_al___2024__Gear_Fault_Diagnosis_in_Geared_Motors_Based_on_Frequency_Adaptation_Graph_Prototype_Network_with_Lim.pdf,1425805,2026-09-02T19:37:01+00:00,e3f1210bfaabc5d59b5363633c0168f4537c58e95e145f8c6ac703de1450f424
P019,Mahesh_et_al___2022__Employment_of_ANN_for_Predictive_Motor_Maintenance_and_Bearing_Fault_Detection_Using_Park_s_Vector_A.pdf,Mahesh_et_al___2022__Employment_of_ANN_for_Predictive_Motor_Maintenance_and_Bearing_Fault_Detection_Using_Park_s_Vector_A.pdf,1283849,2026-09-02T19:37:01+00:00,da1a02b6aa56da509fa37c55a6175ce5ad3eec7bed644ae577f9dc07e424be7a
P020,Mian_et_al___2023__Artificial_intelligence_of_things_based_approach_for_anomaly_detection_in_rotating_machines.pdf,Mian_et_al___2023__Artificial_intelligence_of_things_based_approach_for_anomaly_detection_in_rotating_machines.pdf,2987025,2026-09-02T19:37:01+00:00,3af17e82deee6bb015a54bdbbcfec9eead270f454d1b4f58d263dd40cbdc9efa
P021,Nguyen_y_Kim__2025__Efficient_Bearing_Fault_Diagnosis_for_Edge_Computing_Using_Grayscale_Spectrograms_and_Hybrid_Neural.pdf,Nguyen_y_Kim__2025__Efficient_Bearing_Fault_Diagnosis_for_Edge_Computing_Using_Grayscale_Spectrograms_and_Hybrid_Neural.pdf,4234617,2026-09-02T19:37:01+00:00,a3fd4cecd7cd4a811a474e7c97b5c277b52abb23cb8ccf0002cb6038a605ec06
P022,Nguyen_y_Kim__2026__A_Lightweight_Heterogeneous_Neural_Network_Architecture_for_Multiscale_Feature_Extraction_in_Bearing.pdf,Nguyen_y_Kim__2026__A_Lightweight_Heterogeneous_Neural_Network_Architecture_for_Multiscale_Feature_Extraction_in_Bearing.pdf,4651259,2026-09-02T19:37:01+00:00,dd8a52b5a73e825071a789b495a872fe24484195e6ed6695d0656222302329a2
P023,Periasamy_et_al___2026__A_Novel_Hierarchical_Temporal_Graph_PhysicsGuided_Fusion_Network_for_Predictive_Fault_Diagnosis_in.pdf,Periasamy_et_al___2026__A_Novel_Hierarchical_Temporal_Graph_PhysicsGuided_Fusion_Network_for_Predictive_Fault_Diagnosis_in.pdf,3660132,2026-09-02T19:37:01+00:00,b84498142d012b2e6e087d2226a52d07779815831a778c309e7c199ba34bd0c7
P024,s10462024107489.pdf,s10462024107489.pdf,7319668,2026-09-02T19:37:01+00:00,5ebc7402944d0dc7eed9da475659e0404180e5bf468da081ace046ec5bcf7f04
P025,Safiullin_hnical.pdf,Safiullin_hnical.pdf,1497123,2026-09-02T19:37:01+00:00,88cd586130b64094795db5f4b7cb28d19da59d1deeb18fc692865c7c520c62cc
P026,Tang_et_al___2022__Graph_Cardinality_Preserved_Attention_Network_for_Fault_Diagnosis_of_Induction_Motor_Under_Varying_S.pdf,Tang_et_al___2022__Graph_Cardinality_Preserved_Attention_Network_for_Fault_Diagnosis_of_Induction_Motor_Under_Varying_S.pdf,2699125,2026-09-02T19:37:01+00:00,5d5145b3b19b540057c285ebeb04022f2f99e0b6ca412a506bd7dcb41500eb7c
P027,TinyML_Machine_Learning_with_TensorFlow_Lite_on_Arduino_and_Ultra-Low-Power_Microcontrollers__Pete_Warden__Daniel_Situnayake___Z-Library_.pdf,TinyML_Machine_Learning_with_TensorFlow_Lite_on_Arduino_and_Ultra-Low-Power_Microcontrollers__Pete_Warden__Daniel_Situnayake___Z-Library_.pdf,944548,2026-09-02T19:37:01+00:00,53a43b83f5e0ca858cffbb56f95a895aebd6fcc6aad712699aa743ae4591507f
P028,Xiao_et_al___2026__CDGCN_A_CNNenhanced_dynamic_graph_convolutional_network_for_multimodal_fault_diagnosis.pdf,Xiao_et_al___2026__CDGCN_A_CNNenhanced_dynamic_graph_convolutional_network_for_multimodal_fault_diagnosis.pdf,3248046,2026-09-02T19:37:01+00:00,a3fa181a68fe3ff940f0b316048924fba2e52e17e02658d2dbf6c0276dc91f33
P029,Zahra_et_al___2025__NoiseRobust_and_Edge_Deployable_ML_Framework_for_Predictive_Maintenance_of_Industrial_Motors.pdf,Zahra_et_al___2025__NoiseRobust_and_Edge_Deployable_ML_Framework_for_Predictive_Maintenance_of_Industrial_Motors.pdf,2327455,2026-09-02T19:37:01+00:00,231afa9a75a334e40b00151cccf4cda88f9fd9feb0e5f3eb390a7d8a656db0cd
P030,Zhang_et_al___2026__Motor_Fault_Prediction_Based_on_Graph_Convolutional_Networks_with_Signal_Association_Mining.pdf,Zhang_et_al___2026__Motor_Fault_Prediction_Based_on_Graph_Convolutional_Networks_with_Signal_Association_Mining.pdf,1323430,2026-09-02T19:37:01+00:00,7b0ae3689681f52e90b00972c78f3ff0bfc2c7d95565892e140af5d9fe33cae2
P031,Zhang_et_al___Motor_Fault_Prediction_Based_on_Graph_Convolutional_Networks_with_Signal_Association_Mining.pdf,Zhang_et_al___Motor_Fault_Prediction_Based_on_Graph_Convolutional_Networks_with_Signal_Association_Mining.pdf,1323430,2026-09-02T19:37:01+00:00,e5924a038dc5e42ce2e8d1df775e495471f3b5dd9267264107c2620a2243de03
P032,Zhao_y_Wang__2024__A_Deployable_Edge_Computing_Solution_for_Machine_Condition_Monitoring.pdf,Zhao_y_Wang__2024__A_Deployable_Edge_Computing_Solution_for_Machine_Condition_Monitoring.pdf,1761684,2026-09-02T19:37:01+00:00,8c3e3bd2dd1dc8ac70edfac5fd8d86dd203a618a077e7b9e9e72d8963223949f
